managerId,FirstName,LastName,Gender,Age,Phone,Email,Address,salaryAmount
1,Lucy,Garcia,F,45,707969651,lugar@gmail.com,Regeringsgatan 2,2000
2,Carlos,Villa,M,33,777980989,carvil@gmail.com,Latngatan 4,4300
3,Christiano,Ronaldo,M,35,7382930,crron@gmail.com,Juventusgatan,3452
4,Marta,Angelo,F,36,787423742,marta@yahoo.com,Brazilgatan 89,3567
5,Angela,Garcia,F,67,7437884232,agnl@gmail.com,Brazilgatan 88,4200
6,Zizu,Alhagi,M,53,9235489423,zizadd@yahoo.com,Regeringsgatan 23,5000
7,Lucy,Angelo,F,43,90237899,lajasa45@gmail.com,Vasagatan 45,3000
8,Charles,Chaplin,M,65,235872985,carv@gmail.com,Juventusgatan  324,5000
9,Elisabeth,Goran,F,43,5235252565,eliz43@yahoo.com,Latngatan 43,3400
10,Zuzu,Cambel,M,62,52352216346,czuh423@hotmail.com,Luleogatan 34,4000
11,Garcia,Jordan,M,29,7547475474,garjio@hotmail.com,Ving�ker 423,2000
12,Carolin,Olsson,F,30,6344636345,crklf95@gmail.com,Eriksdal 31,3000
13,Sara,Johansson,F,44,8568567474,sarjo@gmail.com,Lukdalv�gen 43,2300
14,Cathlin ,Svensson,F,54,5474368474,sev4218cat@hotmail.com,V�llingby 43,4000
15,Eric,Borat,M,39,85685889634,erbor@gmail.com,Kralskrona 43,4000
16,Kobe,Bryan,M,45,238788237,kobbr223@gmail.com,LcoNews 45,5400
17,Abraham,Adam,M,34,87592389923,abrriq@gmail.com,Levygatan 323,3000
18,Carlsson,Levy,M,56,2398908789,carskaj@gmail.com,Kralskrona 444,23000
19,Emilia,Hadgu,F,32,34809890,sdkjflk@yahoo.com,Garisonv�gen 423,3000
20,Jelhanti,Kabo,F,53,2398098054,fklsjf@gmail.com,Jelhanti 4239u,4000
21,Temerxa,Brhane,F,45,5237258989,soljdsj@gmail.om,kokobela 49,4000
